ISO/IEC 27001 Controls,,Mapped NIST 800-53 Controls,
Control ID,Control Title,NIST Controls,
A.5, Information Security Policies,,
A.5.1, Management direction for information security,,
A.5.1.1,Policies for information security,All XX-1 controls,
A.5.1.2,Review of the policies for information security,All XX-1 controls,
A.6,Organization of information security,,
A.6.1,Internal organization,,
A.6.1.1,Information security roles and responsibilities,"All XX-1 controls, CM-9, CP-2,PS-7, SA-3, SA-9, PM- 2, PM-10",
A.6.1.2,Segregation of duties,AC-5,
A.6.1.3,Contact with authorities,IR-6,
A.6.1.4,Contact with special interest groups,"SI-5, PM-15",
A.6.1.5,Information security in project management,"SA-3, SA-9, SA-15",
A.6.2 ,Mobile devices and teleworking,,
A.6.2.1,Mobile device policy,"AC-17, AC-18, AC-19",
A.6.2.2,Teleworking,"AC-3, AC-17, PE-17",
A.7,Human Resources Security,,
A.7.1,Prior to Employment,,
A.7.1.1,Screening,"PS-3, SA-21",
A.7.1.2,Terms and conditions of employment,"PL-4, PS-6",
A.7.2 ,During employment,,
A.7.2.1,Management responsibilities,"PL-4, PS-6, PS-7, SA-9",
A.7.2.2,"Information security awareness, education, and training","AT-2, AT-3, CP-3, IR-2, PM-13",
A.7.2.3,Disciplinary process,PS-8,
A.7.3 ,Termination and change of employment,,
A.7.3.1,Termination or change of employment responsibilities,"PS-4, PS-5",
A.8,Asset Management,,
A.8.1 ,Responsibility for assets,,
A.8.1.1,Inventory of assets,CM-8,
A.8.1.2,Ownership of assets,CM-8,
A.8.1.3,Acceptable use of assets,PL-4,
A.8.1.4,Return of assets,"PS-4, PS-5",
A.8.2,Information Classification,,
A.8.2.1,Classification of information,RA-2,
A.8.2.2,Labelling of Information,MP-3,
A.8.2.3,Handling of Assets,"MP-2, MP-4, MP-5, MP-6, MP-7, PE-16, PE-18, PE- 20, SC-8, SC-28",
A.8.3,Media Handling,,
A.8.3.1,Management of removable media,"MP-2, MP-4, MP-5, MP-6, MP-7",
A.8.3.2,Disposal of media,MP-6,
A.8.3.3,Physical media transfer,MP-5,
A.9,Access Control,,
A.9.1,Business requirement of access control,,
A.9.1.1,Access control policy,AC-1,
A.9.1.2,Access to networks and network services,"AC-3, AC-6",
A.9.2,User access management,,
A.9.2.1,User registration and de-registration,"AC-2, IA-2, IA-4, IA-5, IA-8",
A.9.2.2,User access provisioning,AC-2,
A.9.2.3,Management of privileged access rights,"AC-2, AC-3, AC-6, CM-5",
A.9.2.4,Management of secret authentication information of users,IA-5,
A.9.2.5,Review of user access rights,AC-2,
A.9.2.6,Removal or adjustment of access rights,AC-2,
A.9.3,User responsibilities,,
A.9.3.1,Use of secret authentication information,IA-5,
A.9.4,System and application access control,,
A.9.4.1,Information access restriction,"AC-3, AC-24",
A.9.4.2,Secure logon procedures,"AC-7, AC-8, AC-9, IA-6",
A.9.4.3,Password management system,IA-5,
A.9.4.4,Use of privileged utility programs,"AC-3, AC-6",
A.9.4.5,Access control to program source code,"AC-3, AC-6, CM-5",
A.10,Cryptography,,
A.10.1,Cryptographic controls,,
A.10.1.1,Policy on the use of cryptographic controls,SC-13,
A.10.1.2,Key Management,"SC-12, SC-17",
A.11,Physical and environmental security,,
A.11.1,Secure areas,,
A.11.1.1,Physical security perimeter,PE-3*,
A.11.1.2,Physical entry controls,"PE-2, PE-3, PE-4, PE-5",
A.11.1.3,"Securing offices, rooms and facilities","PE-3, PE-5",
A.11.1.4,Protecting against external and environmental threats,"CP-6, CP-7, PE-9, PE-13, PE-14, PE-15, PE-18, PE- 19",
A.11.1.5,Working in secure areas,SC-42(3)*,
A.11.1.6,Delivery and loading areas,PE-16,
A.11.2,Equipment,,
A.11.2.1,Equipment siting and protection,"PE-9, PE-13, PE-14, PE-15, PE-18, PE-19",
A.11.2.2,Supporting utilities,"CP-8, PE-9, PE-10, PE-11, PE-12, PE-14, PE-15",
A.11.2.3,Cabling security,"PE-4, PE-9",
A.11.2.4,Equipment maintenance,"MA-2, MA-6",
A.11.2.5,Removal of assets,"MA-2, MP-5, PE-16",
A.11.2.6,Security of equipment and assets off-premises,"AC-19, AC-20, MP-5, PE-17",
A.11.2.7,Secure disposal or reuse of equipment,MP-6,
A.11.2.8,Unattended user equipment,AC-11,
A.11.2.9,Clear desk and clear screen policy,"AC-11, MP-2, MP-4",
A.12,Operations security,,
A.12.1,Operational procedures and responsibilities,,
A.12.1.1,Documented operating procedures,"All XX-1 controls, SA-5",
A.12.1.2,Change management,"CM-3, CM-5, SA-10",
A.12.1.3,Capacity management,"AU-4, CP-2(2), SC-5(2)",
A.12.1.4,"Separation of development, testing, and operational environments","CM-4(1)*, CM-5*",
A.12.2,Protection from malware,,
A.12.2.1,Controls against malware,"AT-2, SI-3",
A.12.3,Backup,,
A.12.3.1,Information backup,CP-9,
A.12.4,Logging and monitoring,,
A.12.4.1,Event logging,"AU-3, AU-6, AU-11, AU-12, AU-14",
A.12.4.2,Protection of log information,AU-9,
A.12.4.3,Administrator and operator logs,"AU-9, AU-12",
A.12.4.4,Clock synchronization,AU-8,
A.12.5,Control of operational software,,
A.12.5.1,Installation of software on operational systems,"CM-5, CM-7(4), CM-7(5), CM-11",
A.12.6,Technical vulnerability management,,
A.12.6.1,Management of technical vulnerabilities,"RA-3, RA-5, SI-2, SI-5",
A.12.6.2,Restrictions on software installation,CM-11,
A.12.7,Information systems audit considerations,,
A.12.7.1,Information systems audit controls,AU-5*,
A.13,Communications security,,
A.13.1,Network security management,,
A.13.1.1,Network controls,"AC-3, AC-17, AC-18, AC-20, SC-7, SC-8, SC-10",
A.13.1.2,Security of network services,"CA-3, SA-9",
A.13.1.3,Segregation in networks,"AC-4, SC-7",
A.13.2,Information transfer,,
A.13.2.1,Information transfer policies and procedures,"AC-4, AC-17, AC-18, AC-19, AC-20, CA-3, PE-17, SC-7, SC-8, SC-15",
A.13.2.2,Agreements on information transfer,"CA-3, PS-6, SA-9",
A.13.2.3,Electronic messaging,SC-8,
A.13.2.4,Confidentiality or nondisclosure agreements,PS-6,
A.14,"System acquisition, development and maintenance",,
A.14.1,Security requirements of information systems,,
A.14.1.1,Information security requirements analysis and specification,"PL-2, PL-7, PL-8, SA-3, SA-4",
A.14.1.2,Securing application services on public networks,"AC-3, AC-4, AC-17, SC-8, SC-13",
A.14.1.3,Protecting application services transactions,"AC-3, AC-4, SC-7, SC-8, SC-13",
A.14.2,Security in development and support processes,,
A.14.2.1, Secure development policy,,"SA-3, SA-15, SA-17"
A.14.2.2,System change control procedures,"CM-3, SA-10, SI-2",
A.14.2.3,Technical review of applications after operating platform changes,"CM-3, CM-4, SI-2",
A.14.2.4,Restrictions on changes to software packages,"CM-3, SA-10",
A.14.2.5,Secure system engineering principles,SA-8,
A.14.2.6,Secure development environment,SA-3*,
A.14.2.7,Outsourced development,"SA-4, SA-10, SA-11, SA-12, SA-15",
A.14.2.8,System security testing,"CA-2, SA-11",
A.14.2.9,System acceptance testing,"SA-4, SA-12(7)",
A.14.3,Test data,,
A.14.3.1,Protection of test data,SA-15(9)*,
A.15, Supplier Relationships,,
A.15.1,Information security in supplier relationships,,
A.15.1.1,Information security policy for supplier relationships,SA-12,
A.15.1.2,Address security within supplier agreements,"SA-4, SA-12",
A.15.1.3,Information and communication technology supply chain,SA-12,
A.15.2, Supplier service delivery management,,
A.15.2.1,Monitoring and review of supplier services,SA-9,
A.15.2.2,Managing changes to supplier services,SA-9,
A.16, Information security incident management,,
A.16.1, Managing of information security incidents and improvements,,
A.16.1.1,Responsibilities and procedures,IR-8,
A.16.1.2,Reporting information security events,"AU-6, IR-6",
A.16.1.3,Reporting information security weaknesses,SI-2,
A.16.1.4,Assessment of and decision on information security events,"AU-6, IR-4",
A.16.1.5,Response to information security incidents,IR-4,
A.16.1.6,Learning from information security incidents,IR-4,
A.16.1.7,Collection of evidence,"AU-4*, AU-9*, AU-10(3)*, AU-11*",
A.17, Information security aspects of business continuity management,,
A.17.1, Information security continuity,,
A.17.1.1,Planning information security continuity,CP-2,
A.17.1.2,Implementing information security continuity,"CP-6, CP-7, CP-8, CP-9, CP-10, CP-11, CP-13",
A.17.1.3,"Verify, review, and evaluate information security continuity",CP-4,
A.17.2, Redundancies,,
A.17.2.1, Availability of information processing facilities,"CP-2,CP-6, CP-7",
A.18, Compliance,,
A.18.1, Compliance with legal and contractual requirements,,
A.18.1.1,Identification of applicable legislation and contractual requirements ,All XX-1 controls,
A.18.1.2,Intellectual property rights,CM-10,
A.18.1.3,Protection of records,"AC-3, AC-23, AU-9, AU-10, CP-9, SC-8, SC-8(1), SC-13, SC-28, SC-28(1)",
A.18.1.4,Privacy and protection of personal information,Appendix J Privacy controls,
A.18.1.5,Regulation of cryptographic controls,"IA-7, SC-12, SC-13, SC-17",
A.18.2, Information security reviews,,
A.18.2.1,Independent review of information security,"CA-2(1), SA-11(3)",
A.18.2.2,Compliance with security policies and standards,"All XX-1 controls, CA-2",
A.18.2.3,Technical compliance review,CA-2,